Code,Occupation_Name,Nom_de_la_profession,Employment_emploi_2023,Employment_Growth_croissance_emploi,Retirements_retraites,Other_Replacement_autre_remplacement,Total_Job_Openings_Perspective_d'emploi,School_Leavers_Sortants_scolaires,Immigration,Other_Seekers_autres_chercheurs,Job_Seekers_Chercheurs_emploi,Recent_Labour_Market_Conditions,Conditions_récentes_sur_le_marché_du_travail,Future_Labour_Market_Conditions,Conditions_futures_sur_le_marché_du_travail
72310,Carpenters,Charpentiers-menuisiers/charpentières-menuisières,132000,15600,21500,7600,44700,53700,10600,-25500,38800,Strong signs of Shortage,Signes importants de pénurie,Strong risk of Shortage,Risque important de pénurie
72311,Cabinetmakers,Ébénistes,5200,100,1300,400,1800,1800,500,-500,1800,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
72320,Bricklayers,Briqueteurs-maçons/briqueteuses-maçonnes,10700,800,1800,600,3300,2500,1100,-500,3100,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
72321,Insulators,Calorifugeurs/calorifugeuses,9700,1700,1000,600,3300,1800,1000,600,3500,Balance,À équilibre,Balance,À équilibre
72400,Construction millwrights and industrial mechanics,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles,88500,5300,25500,5200,36000,25200,4200,6600,36000,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
72401,Heavy-duty equipment mechanics,Mécaniciens/mécaniciennes d'équipement lourd,70600,10000,12700,3800,26500,26700,2600,-3100,26100,Strong signs of Shortage,Signes importants de pénurie,Strong risk of Shortage,Risque important de pénurie
72402,"Heating, refrigeration and air conditioning mechanics","Mécaniciens/mécaniciennes en chauffage, réfrigération et climatisation",46100,10300,8800,2700,21800,20500,2200,-900,21800,Strong signs of Shortage,Signes importants de pénurie,Strong risk of Shortage,Risque important de pénurie
72403,Railway carmen/women,Réparateurs/réparatrices de wagons,3100,200,500,200,900,700,100,-100,600,Balance,À équilibre,Balance,À équilibre
72404,Aircraft mechanics and aircraft inspectors,Mécaniciens/mécaniciennes et contrôleurs/contrôleuses d'aéronefs,18500,3200,5000,1300,9500,6800,1600,1200,9600,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
72405,Machine fitters,Ajusteurs/ajusteuses de machines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/D,N/A,N/D
72406,Elevator constructors and mechanics,Constructeurs/constructrices et mécaniciens/mécaniciennes d'ascenseurs,6000,1200,700,300,2100,1400,100,-200,1300,Balance,À équilibre,Balance,À équilibre
72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers","Mécaniciens/mécaniciennes et réparateurs/réparatrices de véhicules automobiles, de camions et d'autobus",140400,15400,29500,7800,52600,53400,9400,-11200,51600,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
